time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.00240003,0,0,0,38376,24
681.002,0,0,0,38400,0
728.002,0,0,0,19968,18432
5368,0,0,0,19944,18456
5498,0,0,0,19968,18432
5726,0,0,0,19488,18912
6087,0,0,0,17088,21312
6224,0,0,0,17568,20832
6290,0,0,0,19968,18432
6330,0,0,0,17568,20832
7016,0,0,0,19968,18432
7021,0,0,0,7968,30432
7278,0,0,0,7488,30912
7416,0,0,0,7008,31392
7421,0,0,0,7488,30912
7899,0,0,0,19488,18912
7925,0,0,0,7488,30912
8415,0,0,0,19488,18912
8859,0,0,0,19968,18432
10826,0,0,0,17568,20832
10989,0,0,0,19968,18432
11033,0,0,0,17568,20832
11087,0,0,0,19968,18432
11114,0,0,0,17568,20832
11877,0,0,0,19968,18432
22948,0,0,0,8448,29952
26549,0,0,0,19968,18432
29529,0,0,0,38400,0
29529,0,0,0,14400,24000
30500,0,0,0,38400,0
30500,0,0,0,14400,24000
30500,0,0,0,13440,24960
30500,0,0,0,12528,25872
30500,0,0,0,11568,26832
30500,0,0,0,10992,27408
30500,0,0,0,10416,27984
30500,0,0,0,10368,28032
31108,0,0,0,11280,27120
31386,0,0,0,11856,26544
31518,0,0,0,35856,2544
31518,0,0,0,36432,1968
32542,0,0,0,36312,2088
32575,0,0,0,36192,2208
32893,0,0,0,36240,2160
33157,0,0,0,36120,2280
33198,0,0,0,36000,2400
33499,0,0,0,25632,12768
37100,0,0,0,36000,2400
39194,0,0,0,17568,20832
41399,0,0,0,17544,20856
41877,0,0,0,17568,20832
41955,0,0,0,17376,21024
42282,0,0,0,17568,20832
42295,0,0,0,17544,20856
42295,0,0,0,17496,20904
42296,0,0,0,17472,20928
42297,0,0,0,17376,21024
42298,0,0,0,17400,21000
42298,0,0,0,17160,21240
42298,0,0,0,17136,21264
42300,0,0,0,17232,21168
42300,0,0,0,17088,21312
42301,0,0,0,17136,21264
42302,0,0,0,17160,21240
42306,0,0,0,17184,21216
42317,0,0,0,17424,20976
42325,0,0,0,17184,21216
42336,0,0,0,17136,21264
42345,0,0,0,17088,21312
42350,0,0,0,17136,21264
42354,0,0,0,16896,21504
42357,0,0,0,17136,21264
42359,0,0,0,17280,21120
42377,0,0,0,17160,21240
42378,0,0,0,17136,21264
42380,0,0,0,17256,21144
42390,0,0,0,17280,21120
42420,0,0,0,17040,21360
42434,0,0,0,17280,21120
42443,0,0,0,17256,21144
42454,0,0,0,17280,21120
42471,0,0,0,17256,21144
42482,0,0,0,17280,21120
42508,0,0,0,17232,21168
42519,0,0,0,17280,21120
42523,0,0,0,17328,21072
42543,0,0,0,17304,21096
42554,0,0,0,17328,21072
42572,0,0,0,17280,21120
42583,0,0,0,17328,21072
42587,0,0,0,17568,20832
42637,0,0,0,17520,20880
42638,0,0,0,17496,20904
42652,0,0,0,17544,20856
42652,0,0,0,17568,20832
42699,0,0,0,17520,20880
42711,0,0,0,17568,20832
42770,0,0,0,17520,20880
42782,0,0,0,17568,20832
42829,0,0,0,17544,20856
42859,0,0,0,17520,20880
42861,0,0,0,17544,20856
42899,0,0,0,17568,20832
42958,0,0,0,17544,20856
42960,0,0,0,17568,20832
45413,0,0,0,17544,20856
47823,0,0,0,17568,20832
48281,0,0,0,17376,21024
48285,0,0,0,17568,20832
48552,0,0,0,17376,21024
54118,0,0,0,18336,20064
57389,0,0,0,18528,19872
67961,0,0,0,18504,19896
68082,0,0,0,18528,19872
68174,0,0,0,36960,1440
69037,0,0,0,36912,1488
69037,0,0,0,36888,1512
69038,0,0,0,36864,1536
69039,0,0,0,36840,1560
69039,0,0,0,36600,1800
69039,0,0,0,36456,1944
69040,0,0,0,36480,1920
69040,0,0,0,36384,2016
69042,0,0,0,36432,1968
69043,0,0,0,36456,1944
69043,0,0,0,36552,1848
69049,0,0,0,36576,1824
69053,0,0,0,36336,2064
69058,0,0,0,36576,1824
69068,0,0,0,36528,1872
69083,0,0,0,36480,1920
69088,0,0,0,36528,1872
69089,0,0,0,36288,2112
69089,0,0,0,36192,2208
69091,0,0,0,36432,1968
69094,0,0,0,36576,1824
69112,0,0,0,36336,2064
69115,0,0,0,36216,2184
69116,0,0,0,36120,2280
69117,0,0,0,36240,2160
69117,0,0,0,36216,2184
69125,0,0,0,36456,1944
69128,0,0,0,36480,1920
69183,0,0,0,36456,1944
69194,0,0,0,36480,1920
69245,0,0,0,36456,1944
69250,0,0,0,36504,1896
69260,0,0,0,36528,1872
69281,0,0,0,36504,1896
69292,0,0,0,36528,1872
69298,0,0,0,36768,1632
69310,0,0,0,36720,1680
69322,0,0,0,36768,1632
69343,0,0,0,36744,1656
69354,0,0,0,36768,1632
69374,0,0,0,36720,1680
69385,0,0,0,36768,1632
69438,0,0,0,36720,1680
69449,0,0,0,36768,1632
69505,0,0,0,36720,1680
69516,0,0,0,36768,1632
69567,0,0,0,36720,1680
69578,0,0,0,36768,1632
69631,0,0,0,36744,1656
69661,0,0,0,36720,1680
69693,0,0,0,36744,1656
69697,0,0,0,36768,1632
69760,0,0,0,36744,1656
69792,0,0,0,36768,1632
70434,0,0,0,36864,1536
70682,0,0,0,36624,1776
70951,0,0,0,36864,1536
70988,0,0,0,36840,1560
70999,0,0,0,36864,1536
71442,0,0,0,36624,1776
71462,0,0,0,36864,1536
71770,0,0,0,36960,1440
72304,0,0,0,36720,1680
72327,0,0,0,36960,1440
72704,0,0,0,36720,1680
72727,0,0,0,36960,1440
72876,0,0,0,36720,1680
72894,0,0,0,36960,1440
73292,0,0,0,36864,1536
73518,0,0,0,22464,15936
74982,0,0,0,22296,16104
75054,0,0,0,21048,17352
76432,0,0,0,22296,16104
76463,0,0,0,22392,16008
76736,0,0,0,21144,17256
77119,0,0,0,35544,2856
77126,0,0,0,32664,5736
77219,0,0,0,35544,2856
77544,0,0,0,32664,5736
77546,0,0,0,29784,8616
77546,0,0,0,26904,11496
77548,0,0,0,24024,14376
77548,0,0,0,21144,17256
77549,0,0,0,18264,20136
77550,0,0,0,21144,17256
77551,0,0,0,18264,20136
77552,0,0,0,15384,23016
77552,0,0,0,12504,25896
77553,0,0,0,9624,28776
77555,0,0,0,12504,25896
77572,0,0,0,15384,23016
77610,0,0,0,18264,20136
77614,0,0,0,21144,17256
77615,0,0,0,24024,14376
77616,0,0,0,26904,11496
77907,0,0,0,27072,11328
78264,0,0,0,28320,10080
78531,0,0,0,27072,11328
79955,0,0,0,28320,10080
80383,0,0,0,12960,25440
80701,0,0,0,11712,26688
81493,0,0,0,9912,28488
82211,0,0,0,11160,27240
82257,0,0,0,11064,27336
82297,0,0,0,10872,27528
82573,0,0,0,9624,28776
83508,0,0,0,9816,28584
83573,0,0,0,5688,32712
83870,0,0,0,6936,31464
83917,0,0,0,5736,32664
84252,0,0,0,5832,32568
85411,0,0,0,7032,31368
85731,0,0,0,5832,32568
86622,0,0,0,6792,31608
87114,0,0,0,10920,27480
87213,0,0,0,12120,26280
88714,0,0,0,12240,26160
88729,0,0,0,12360,26040
89067,0,0,0,12480,25920
89090,0,0,0,15360,23040
89090,0,0,0,2400,36000
89092,0,0,0,2520,35880
89216,0,0,0,5400,33000
91840,0,0,0,8280,30120
92691,0,0,0,21240,17160
93149,0,0,0,17112,21288
93821,0,0,0,17064,21336
94076,0,0,0,17016,21384
95494,0,0,0,15816,22584
95865,0,0,0,15864,22536
96115,0,0,0,15768,22632
96118,0,0,0,15864,22536
96830,0,0,0,15768,22632
96910,0,0,0,15816,22584
97010,0,0,0,17016,21384
97197,0,0,0,17112,21288
97379,0,0,0,16920,21480
98849,0,0,0,16752,21648
98912,0,0,0,16920,21480
98957,0,0,0,16752,21648
99575,0,0,0,16920,21480
100038,0,0,0,17112,21288
100290,0,0,0,21240,17160
102133,0,0,0,20208,18192
104755,0,0,0,17904,20496
108356,0,0,0,20208,18192
112164,0,0,0,21240,17160
112742,0,0,0,36600,1800
113186,0,0,0,31992,6408
123756,0,0,0,29688,8712
124498,0,0,0,29112,9288
124518,0,0,0,31416,6984
124959,0,0,0,31992,6408
125056,0,0,0,31416,6984
125547,0,0,0,31992,6408
128695,0,0,0,31968,6432
128696,0,0,0,31920,6480
128697,0,0,0,31896,6504
128698,0,0,0,31656,6744
128700,0,0,0,31560,6840
128701,0,0,0,31608,6792
128702,0,0,0,31584,6816
128703,0,0,0,31680,6720
128704,0,0,0,31704,6696
128704,0,0,0,31560,6840
128706,0,0,0,31584,6816
128718,0,0,0,31824,6576
128725,0,0,0,31584,6816
128729,0,0,0,31608,6792
128739,0,0,0,31560,6840
128745,0,0,0,31512,6888
128752,0,0,0,31272,7128
128753,0,0,0,31320,7080
128755,0,0,0,31560,6840
128762,0,0,0,31704,6696
128776,0,0,0,31680,6720
128787,0,0,0,31704,6696
128787,0,0,0,31584,6816
128789,0,0,0,31704,6696
128811,0,0,0,31464,6936
128824,0,0,0,31704,6696
128843,0,0,0,31680,6720
128854,0,0,0,31704,6696
128905,0,0,0,31680,6720
128916,0,0,0,31704,6696
128931,0,0,0,31752,6648
128967,0,0,0,31704,6696
128968,0,0,0,31680,6720
128979,0,0,0,31728,6672
128980,0,0,0,31752,6648
128983,0,0,0,31992,6408
129029,0,0,0,31968,6432
129029,0,0,0,31920,6480
129040,0,0,0,31944,6456
129041,0,0,0,31992,6408
129094,0,0,0,31944,6456
129105,0,0,0,31992,6408
129156,0,0,0,31944,6456
129167,0,0,0,31992,6408
129220,0,0,0,31944,6456
129231,0,0,0,31992,6408
129281,0,0,0,31968,6432
129312,0,0,0,31944,6456
129344,0,0,0,31968,6432
129350,0,0,0,31992,6408
129406,0,0,0,31968,6432
129408,0,0,0,31992,6408
133094,0,0,0,33792,4608
141351,0,0,0,38400,0
247131,0,0,0,37440,960
248160,0,0,0,37320,1080
248206,0,0,0,37200,1200
248747,0,0,0,36960,1440
248781,0,0,0,36936,1464
248791,0,0,0,36960,1440
249048,0,0,0,37200,1200
255062,0,0,0,36864,1536
255455,0,0,0,36528,1872
255458,0,0,0,36864,1536
256508,0,0,0,37200,1200
258509,0,0,0,37176,1224
262110,0,0,0,37200,1200
264545,0,0,0,36864,1536
265999,0,0,0,37200,1200
271583,0,0,0,24240,14160
271651,0,0,0,37200,1200
272052,0,0,0,24240,14160
273747,0,0,0,20400,18000
273811,0,0,0,24240,14160
284881,0,0,0,23904,14496
284895,0,0,0,23784,14616
284942,0,0,0,24120,14280
284965,0,0,0,24000,14400
285054,0,0,0,23880,14520
285169,0,0,0,23760,14640
285234,0,0,0,23640,14760
285365,0,0,0,23520,14880
285733,0,0,0,23184,15216
285740,0,0,0,19344,19056
287179,0,0,0,19680,18720
287232,0,0,0,19344,19056
288673,0,0,0,19680,18720
289187,0,0,0,19344,19056
290632,0,0,0,19680,18720
290939,0,0,0,19344,19056
292383,0,0,0,19680,18720
293519,0,0,0,19800,18600
294335,0,0,0,19464,18936
295793,0,0,0,19800,18600
295988,0,0,0,19464,18936
297451,0,0,0,19800,18600
297755,0,0,0,19464,18936
299108,0,0,0,13320,25080
299171,0,0,0,7176,31224
299207,0,0,0,7512,30888
299749,0,0,0,7176,31224
301228,0,0,0,7512,30888
301495,0,0,0,7488,30912
301496,0,0,0,7440,30960
301496,0,0,0,7416,30984
301497,0,0,0,7440,30960
301497,0,0,0,7416,30984
301497,0,0,0,7176,31224
301498,0,0,0,7032,31368
301499,0,0,0,6936,31464
301500,0,0,0,6960,31440
301501,0,0,0,7008,31392
301501,0,0,0,7104,31296
301508,0,0,0,7128,31272
301510,0,0,0,6888,31512
301517,0,0,0,7128,31272
301531,0,0,0,7080,31320
301536,0,0,0,7032,31368
301541,0,0,0,7080,31320
301553,0,0,0,7224,31176
301577,0,0,0,6984,31416
301579,0,0,0,7224,31176
301601,0,0,0,6984,31416
301615,0,0,0,7224,31176
301622,0,0,0,7104,31296
301624,0,0,0,7224,31176
301636,0,0,0,7200,31200
301647,0,0,0,7224,31176
301698,0,0,0,7200,31200
301710,0,0,0,7224,31176
301721,0,0,0,7272,31128
301736,0,0,0,7248,31152
301747,0,0,0,7272,31128
301763,0,0,0,7248,31152
301774,0,0,0,7272,31128
301778,0,0,0,7512,30888
301827,0,0,0,7488,30912
301827,0,0,0,7440,30960
301838,0,0,0,7464,30936
301839,0,0,0,7512,30888
301891,0,0,0,7464,30936
301903,0,0,0,7512,30888
301944,0,0,0,7176,31224
301959,0,0,0,7128,31272
301970,0,0,0,7176,31224
302018,0,0,0,7128,31272
302029,0,0,0,7176,31224
302083,0,0,0,7128,31272
302097,0,0,0,7176,31224
302147,0,0,0,7152,31248
302178,0,0,0,7128,31272
302188,0,0,0,7152,31248
302216,0,0,0,7176,31224
302278,0,0,0,7152,31248
302310,0,0,0,7176,31224
303169,0,0,0,8136,30264
303383,0,0,0,8472,29928
304060,0,0,0,8592,29808
304334,0,0,0,8712,29688
327772,0,0,0,5640,32760
328084,0,0,0,2760,35640
328179,0,0,0,5640,32760
328179,0,0,0,2760,35640
328183,0,0,0,5640,32760
328183,0,0,0,2760,35640
329474,0,0,0,5832,32568
329474,0,0,0,2952,35448
329474,0,0,0,72,38328
329477,0,0,0,2952,35448
329477,0,0,0,72,38328
329537,0,0,0,2952,35448
329537,0,0,0,72,38328
329541,0,0,0,2952,35448
329541,0,0,0,5832,32568
329541,0,0,0,2952,35448
329653,0,0,0,15912,22488
332161,0,0,0,15888,22512
332163,0,0,0,15912,22488
332367,0,0,0,12840,25560
333422,0,0,0,12816,25584
333438,0,0,0,12840,25560
334196,0,0,0,11880,26520
334350,0,0,0,11856,26544
335044,0,0,0,11712,26688
335388,0,0,0,9312,29088
338645,0,0,0,9456,28944
339931,0,0,0,8424,29976
340264,0,0,0,11304,27096
341107,0,0,0,12336,26064
341112,0,0,0,12456,25944
341184,0,0,0,15528,22872
341188,0,0,0,15648,22752
341302,0,0,0,15768,22632
341351,0,0,0,15888,22512
341523,0,0,0,18768,19632
341767,0,0,0,18888,19512
343341,0,0,0,22728,15672
344997,0,0,0,23688,14712
345090,0,0,0,23544,14856
345418,0,0,0,23520,14880
345608,0,0,0,22560,15840
346020,0,0,0,22584,15816
