time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.00240003,0,0,0,224,16
6445,0,0,0,223,17
6510,0,0,0,224,16
8256,0,0,0,223,17
8269,0,0,0,222,18
8277,0,0,0,221,19
8285,0,0,0,220,20
8291,0,0,0,221,19
8292,0,0,0,220,20
8297,0,0,0,219,21
8301,0,0,0,218,22
8304,0,0,0,217,23
8309,0,0,0,216,24
8315,0,0,0,217,23
8331,0,0,0,218,22
8337,0,0,0,219,21
8339,0,0,0,220,20
8357,0,0,0,221,19
8360,0,0,0,222,18
8372,0,0,0,223,17
8373,0,0,0,222,18
8376,0,0,0,221,19
8379,0,0,0,220,20
8383,0,0,0,221,19
8383,0,0,0,220,20
8388,0,0,0,219,21
8391,0,0,0,218,22
8394,0,0,0,217,23
8397,0,0,0,216,24
8401,0,0,0,215,25
8414,0,0,0,216,24
8438,0,0,0,217,23
8438,0,0,0,218,22
8456,0,0,0,219,21
8462,0,0,0,220,20
8465,0,0,0,221,19
8468,0,0,0,222,18
8473,0,0,0,223,17
11856,0,0,0,222,18
11857,0,0,0,223,17
15456,0,0,0,222,18
15457,0,0,0,223,17
19056,0,0,0,222,18
19057,0,0,0,223,17
20082,0,0,0,215,25
20194,0,0,0,214,26
20219,0,0,0,213,27
20236,0,0,0,212,28
20250,0,0,0,211,29
20256,0,0,0,212,28
20266,0,0,0,211,29
20280,0,0,0,210,30
20294,0,0,0,209,31
20307,0,0,0,208,32
20321,0,0,0,207,33
22656,0,0,0,206,34
22657,0,0,0,207,33
23819,0,0,0,206,34
23820,0,0,0,207,33
23836,0,0,0,206,34
23837,0,0,0,207,33
23850,0,0,0,206,34
23851,0,0,0,207,33
23866,0,0,0,206,34
23867,0,0,0,207,33
23880,0,0,0,206,34
23881,0,0,0,207,33
23894,0,0,0,206,34
23895,0,0,0,207,33
23907,0,0,0,206,34
23908,0,0,0,207,33
23921,0,0,0,206,34
23922,0,0,0,207,33
26256,0,0,0,206,34
26257,0,0,0,207,33
27419,0,0,0,206,34
27420,0,0,0,207,33
27436,0,0,0,206,34
27437,0,0,0,207,33
27450,0,0,0,206,34
27451,0,0,0,207,33
27466,0,0,0,206,34
27467,0,0,0,207,33
27480,0,0,0,206,34
27481,0,0,0,207,33
27494,0,0,0,206,34
27495,0,0,0,207,33
27507,0,0,0,206,34
27508,0,0,0,207,33
27521,0,0,0,206,34
27522,0,0,0,207,33
29856,0,0,0,206,34
