job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
job_2_0,w0,55,515.000000,8,600.000000,1,COMPLETED_SUCCESSFULLY,515.001800,55.000000,570.001800,0.001800,55.001800,1.000033,16-23,-1.000000,""
job_6_0,w0,3601,4418.000000,8,7200.000000,1,COMPLETED_SUCCESSFULLY,4418.001800,3601.000000,8019.001800,0.001800,3601.001800,1.000000,80-87,-1.000000,""
job_4_0,w0,6155,1953.000000,16,12308.000000,1,COMPLETED_SUCCESSFULLY,1953.001800,6155.000000,8108.001800,0.001800,6155.001800,1.000000,48-63,-1.000000,""
job_3_0,w0,6981,1737.000000,32,13960.000000,1,COMPLETED_SUCCESSFULLY,1737.001800,6981.000000,8718.001800,0.001800,6981.001800,1.000000,16-47,-1.000000,""
job_5_0,w0,6210,3027.000000,16,12418.000000,1,COMPLETED_SUCCESSFULLY,3027.001800,6210.000000,9237.001800,0.001800,6210.001800,1.000000,64-79,-1.000000,""
job_16_0,w0,80,11128.000000,8,7140.000000,1,COMPLETED_SUCCESSFULLY,11128.001800,80.000000,11208.001800,0.001800,80.001800,1.000023,64-71,-1.000000,""
job_6_1,w0,3601,8018.000000,8,7200.000000,1,COMPLETED_SUCCESSFULLY,8018.001800,3601.000000,11619.001800,0.001800,3601.001800,1.000000,144-151,-1.000000,""
job_15_0,w0,4019,8832.000000,64,8036.000000,1,COMPLETED_SUCCESSFULLY,8832.001800,4019.000000,12851.001800,0.001800,4019.001800,1.000000,16-47 160-191,-1.000000,""
job_17_0,w0,53,15041.000000,8,7140.000000,1,COMPLETED_SUCCESSFULLY,15041.001800,53.000000,15094.001800,0.001800,53.001800,1.000034,16-23,-1.000000,""
job_6_2,w0,3601,11618.000000,8,7200.000000,1,COMPLETED_SUCCESSFULLY,11618.001800,3601.000000,15219.001800,0.001800,3601.001800,1.000000,64-71,-1.000000,""
job_14_0,w0,6874,8694.000000,32,13746.000000,1,COMPLETED_SUCCESSFULLY,8694.001800,6874.000000,15568.001800,0.001800,6874.001800,1.000000,48-63 80-87 152-159,-1.000000,""
job_18_0,w0,47,15667.000000,8,7140.000000,1,COMPLETED_SUCCESSFULLY,15667.001800,47.000000,15714.001800,0.001800,47.001800,1.000038,24-31,-1.000000,""
job_19_0,w0,49,15672.000000,8,7140.000000,1,COMPLETED_SUCCESSFULLY,15672.001800,49.000000,15721.001800,0.001800,49.001800,1.000037,32-39,-1.000000,""
job_20_0,w0,54,16047.000000,8,7140.000000,1,COMPLETED_SUCCESSFULLY,16047.001800,54.000000,16101.001800,0.001800,54.001800,1.000033,24-31,-1.000000,""
job_21_0,w0,49,16052.000000,8,7140.000000,1,COMPLETED_SUCCESSFULLY,16052.001800,49.000000,16101.001800,0.001800,49.001800,1.000037,32-39,-1.000000,""
job_13_0,w0,12252,5166.000000,8,36000.000000,1,COMPLETED_SUCCESSFULLY,5166.001800,12252.000000,17418.001800,0.001800,12252.001800,1.000000,136-143,-1.000000,""
