time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.00240003,0,0,0,38376,24
681.002,0,0,0,38400,0
728.002,0,0,0,19968,18432
4328,0,0,0,1536,36864
4329,0,0,0,19968,18432
5368,0,0,0,19944,18456
5498,0,0,0,19968,18432
5726,0,0,0,19488,18912
6087,0,0,0,17088,21312
6224,0,0,0,17568,20832
6290,0,0,0,19968,18432
6330,0,0,0,17568,20832
7016,0,0,0,19968,18432
7021,0,0,0,7968,30432
7278,0,0,0,7488,30912
7416,0,0,0,7008,31392
7421,0,0,0,7488,30912
7899,0,0,0,19488,18912
7925,0,0,0,7488,30912
7929,0,0,0,25920,12480
7929,0,0,0,7488,30912
8415,0,0,0,19488,18912
8859,0,0,0,19968,18432
10826,0,0,0,17568,20832
10989,0,0,0,19968,18432
11033,0,0,0,17568,20832
11087,0,0,0,19968,18432
11114,0,0,0,17568,20832
11530,0,0,0,36000,2400
11530,0,0,0,12000,26400
11877,0,0,0,14400,24000
12501,0,0,0,38400,0
12501,0,0,0,14400,24000
13519,0,0,0,38400,0
13519,0,0,0,19968,18432
13634,0,0,0,19008,19392
13860,0,0,0,18096,20304
14274,0,0,0,17136,21264
14468,0,0,0,18048,20352
15853,0,0,0,17472,20928
16871,0,0,0,18048,20352
17070,0,0,0,17472,20928
17120,0,0,0,35904,2496
17120,0,0,0,17472,20928
17234,0,0,0,16512,21888
17235,0,0,0,17472,20928
17874,0,0,0,16512,21888
17875,0,0,0,17472,20928
17956,0,0,0,18048,20352
20721,0,0,0,36480,1920
20721,0,0,0,18048,20352
20834,0,0,0,17088,21312
20835,0,0,0,18048,20352
21474,0,0,0,17088,21312
21475,0,0,0,18048,20352
24322,0,0,0,36480,1920
24322,0,0,0,18048,20352
24322,0,0,0,6528,31872
24434,0,0,0,5568,32832
24435,0,0,0,6528,31872
25074,0,0,0,5568,32832
25075,0,0,0,6528,31872
27923,0,0,0,24960,13440
27923,0,0,0,36480,1920
27923,0,0,0,18048,20352
28034,0,0,0,17088,21312
28035,0,0,0,18048,20352
28674,0,0,0,17088,21312
28675,0,0,0,18048,20352
30004,0,0,0,18000,20400
31524,0,0,0,36432,1968
31634,0,0,0,35472,2928
31635,0,0,0,36432,1968
32274,0,0,0,35472,2928
32275,0,0,0,36432,1968
32397,0,0,0,36480,1920
32542,0,0,0,36360,2040
32575,0,0,0,36240,2160
33157,0,0,0,36120,2280
33198,0,0,0,36000,2400
33499,0,0,0,25632,12768
35234,0,0,0,24672,13728
35235,0,0,0,25632,12768
35874,0,0,0,24672,13728
35875,0,0,0,25632,12768
36142,0,0,0,25512,12888
36143,0,0,0,25632,12768
36175,0,0,0,25512,12888
36176,0,0,0,25632,12768
36757,0,0,0,25512,12888
36758,0,0,0,25632,12768
36798,0,0,0,25512,12888
36799,0,0,0,25632,12768
37100,0,0,0,36000,2400
37252,0,0,0,36960,1440
39194,0,0,0,18528,19872
39474,0,0,0,17568,20832
39475,0,0,0,18528,19872
39742,0,0,0,18408,19992
39743,0,0,0,18528,19872
39775,0,0,0,18408,19992
39776,0,0,0,18528,19872
40357,0,0,0,18408,19992
40358,0,0,0,18528,19872
40398,0,0,0,18408,19992
40399,0,0,0,18528,19872
41399,0,0,0,18504,19896
41877,0,0,0,18528,19872
41955,0,0,0,18336,20064
42282,0,0,0,18528,19872
42295,0,0,0,18504,19896
42295,0,0,0,18456,19944
42296,0,0,0,18432,19968
42297,0,0,0,18336,20064
42298,0,0,0,18360,20040
42298,0,0,0,18120,20280
42298,0,0,0,18096,20304
42300,0,0,0,18192,20208
42300,0,0,0,18048,20352
42301,0,0,0,18096,20304
42302,0,0,0,18120,20280
42306,0,0,0,18144,20256
42317,0,0,0,18384,20016
42325,0,0,0,18144,20256
42336,0,0,0,18096,20304
42345,0,0,0,18048,20352
42350,0,0,0,18096,20304
42354,0,0,0,17856,20544
42357,0,0,0,18096,20304
42359,0,0,0,18240,20160
42377,0,0,0,18120,20280
42378,0,0,0,18096,20304
42380,0,0,0,18216,20184
42390,0,0,0,18240,20160
42420,0,0,0,18000,20400
42434,0,0,0,18240,20160
42443,0,0,0,18216,20184
42454,0,0,0,18240,20160
42471,0,0,0,18216,20184
42482,0,0,0,18240,20160
42508,0,0,0,18192,20208
42519,0,0,0,18240,20160
42523,0,0,0,18288,20112
42543,0,0,0,18264,20136
42554,0,0,0,18288,20112
42572,0,0,0,18240,20160
42583,0,0,0,18288,20112
42587,0,0,0,18528,19872
42637,0,0,0,18480,19920
42638,0,0,0,18456,19944
42652,0,0,0,18504,19896
42652,0,0,0,18528,19872
42699,0,0,0,18480,19920
42711,0,0,0,18528,19872
42770,0,0,0,18480,19920
42782,0,0,0,18528,19872
42794,0,0,0,96,38304
42795,0,0,0,18528,19872
42829,0,0,0,18504,19896
42859,0,0,0,18480,19920
42861,0,0,0,18504,19896
42899,0,0,0,18528,19872
42958,0,0,0,18504,19896
42960,0,0,0,18528,19872
43074,0,0,0,17568,20832
43075,0,0,0,18528,19872
43342,0,0,0,18408,19992
43343,0,0,0,18528,19872
43375,0,0,0,18408,19992
43376,0,0,0,18528,19872
43957,0,0,0,18408,19992
43958,0,0,0,18528,19872
43998,0,0,0,18408,19992
43999,0,0,0,18528,19872
45413,0,0,0,18504,19896
46394,0,0,0,72,38328
46395,0,0,0,18504,19896
46674,0,0,0,17544,20856
46675,0,0,0,18504,19896
46942,0,0,0,18384,20016
46943,0,0,0,18504,19896
46975,0,0,0,18384,20016
46976,0,0,0,18504,19896
47557,0,0,0,18384,20016
47558,0,0,0,18504,19896
47598,0,0,0,18384,20016
47599,0,0,0,18504,19896
47823,0,0,0,18528,19872
48281,0,0,0,18336,20064
48285,0,0,0,18528,19872
48552,0,0,0,18336,20064
49995,0,0,0,36768,1632
49995,0,0,0,18336,20064
50274,0,0,0,17376,21024
50275,0,0,0,18336,20064
50542,0,0,0,18216,20184
50543,0,0,0,18336,20064
50575,0,0,0,18216,20184
50576,0,0,0,18336,20064
51157,0,0,0,18216,20184
51158,0,0,0,18336,20064
51198,0,0,0,18216,20184
51199,0,0,0,18336,20064
52152,0,0,0,18144,20256
52153,0,0,0,18336,20064
53596,0,0,0,36768,1632
53596,0,0,0,18336,20064
53874,0,0,0,17376,21024
53875,0,0,0,18336,20064
54142,0,0,0,18216,20184
54143,0,0,0,18336,20064
54175,0,0,0,18216,20184
54176,0,0,0,18336,20064
54757,0,0,0,18216,20184
54758,0,0,0,18336,20064
54798,0,0,0,18216,20184
54799,0,0,0,18336,20064
55752,0,0,0,18144,20256
55753,0,0,0,18336,20064
57197,0,0,0,36768,1632
57197,0,0,0,18336,20064
57389,0,0,0,18528,19872
57474,0,0,0,17568,20832
57475,0,0,0,18528,19872
57742,0,0,0,18408,19992
57743,0,0,0,18528,19872
57775,0,0,0,18408,19992
57776,0,0,0,18528,19872
58357,0,0,0,18408,19992
58358,0,0,0,18528,19872
58398,0,0,0,18408,19992
58399,0,0,0,18528,19872
60794,0,0,0,96,38304
60798,0,0,0,18528,19872
61074,0,0,0,17568,20832
61075,0,0,0,18528,19872
61342,0,0,0,18408,19992
61343,0,0,0,18528,19872
61375,0,0,0,18408,19992
61376,0,0,0,18528,19872
61957,0,0,0,18408,19992
61958,0,0,0,18528,19872
61998,0,0,0,18408,19992
61999,0,0,0,18528,19872
64394,0,0,0,96,38304
64395,0,0,0,18528,19872
64674,0,0,0,17568,20832
64675,0,0,0,18528,19872
64942,0,0,0,18408,19992
64943,0,0,0,18528,19872
64975,0,0,0,18408,19992
64976,0,0,0,18528,19872
65557,0,0,0,18408,19992
65558,0,0,0,18528,19872
65598,0,0,0,18408,19992
65599,0,0,0,18528,19872
67961,0,0,0,18504,19896
67994,0,0,0,72,38328
67995,0,0,0,18504,19896
68082,0,0,0,18528,19872
68174,0,0,0,36960,1440
68274,0,0,0,36000,2400
68275,0,0,0,36960,1440
68542,0,0,0,36840,1560
68543,0,0,0,36960,1440
68575,0,0,0,36840,1560
68576,0,0,0,36960,1440
69037,0,0,0,36912,1488
69037,0,0,0,36888,1512
69038,0,0,0,36864,1536
69039,0,0,0,36840,1560
69039,0,0,0,36600,1800
69039,0,0,0,36456,1944
69040,0,0,0,36480,1920
69040,0,0,0,36384,2016
69042,0,0,0,36432,1968
69043,0,0,0,36456,1944
69043,0,0,0,36552,1848
69049,0,0,0,36576,1824
69053,0,0,0,36336,2064
69058,0,0,0,36576,1824
69068,0,0,0,36528,1872
69083,0,0,0,36480,1920
69088,0,0,0,36528,1872
69089,0,0,0,36288,2112
69089,0,0,0,36192,2208
69091,0,0,0,36432,1968
69094,0,0,0,36576,1824
69112,0,0,0,36336,2064
69115,0,0,0,36216,2184
69116,0,0,0,36120,2280
69117,0,0,0,36240,2160
69117,0,0,0,36216,2184
69125,0,0,0,36456,1944
69128,0,0,0,36480,1920
69157,0,0,0,36360,2040
69158,0,0,0,36480,1920
69183,0,0,0,36456,1944
69194,0,0,0,36480,1920
69198,0,0,0,36360,2040
69199,0,0,0,36480,1920
69245,0,0,0,36456,1944
69250,0,0,0,36504,1896
69260,0,0,0,36528,1872
69281,0,0,0,36504,1896
69292,0,0,0,36528,1872
69298,0,0,0,36768,1632
69310,0,0,0,36720,1680
69322,0,0,0,36768,1632
69343,0,0,0,36744,1656
69354,0,0,0,36768,1632
69374,0,0,0,36720,1680
69385,0,0,0,36768,1632
69438,0,0,0,36720,1680
69449,0,0,0,36768,1632
69505,0,0,0,36720,1680
69516,0,0,0,36768,1632
69567,0,0,0,36720,1680
69578,0,0,0,36768,1632
69631,0,0,0,36744,1656
69661,0,0,0,36720,1680
69693,0,0,0,36744,1656
69697,0,0,0,36768,1632
69760,0,0,0,36744,1656
69792,0,0,0,36768,1632
70396,0,0,0,37728,672
70434,0,0,0,37824,576
70682,0,0,0,37584,816
70951,0,0,0,37824,576
70988,0,0,0,37800,600
70999,0,0,0,37824,576
71442,0,0,0,37584,816
71462,0,0,0,37824,576
71770,0,0,0,37920,480
72142,0,0,0,37800,600
72143,0,0,0,37920,480
72175,0,0,0,37800,600
72176,0,0,0,37920,480
72304,0,0,0,37680,720
72327,0,0,0,37920,480
72704,0,0,0,37680,720
72727,0,0,0,37920,480
72757,0,0,0,37800,600
72758,0,0,0,37920,480
72798,0,0,0,37800,600
72799,0,0,0,37920,480
72876,0,0,0,37680,720
72894,0,0,0,37920,480
73292,0,0,0,37824,576
73518,0,0,0,23424,14976
74982,0,0,0,23256,15144
75054,0,0,0,22008,16392
75742,0,0,0,21888,16512
75743,0,0,0,22008,16392
75775,0,0,0,21888,16512
75776,0,0,0,22008,16392
76357,0,0,0,21888,16512
76358,0,0,0,22008,16392
76398,0,0,0,21888,16512
76399,0,0,0,22008,16392
76432,0,0,0,23256,15144
76463,0,0,0,23352,15048
76736,0,0,0,22104,16296
77119,0,0,0,36504,1896
77126,0,0,0,33624,4776
77219,0,0,0,36504,1896
77544,0,0,0,33624,4776
77546,0,0,0,30744,7656
77546,0,0,0,27864,10536
77548,0,0,0,24984,13416
77548,0,0,0,22104,16296
77549,0,0,0,19224,19176
77550,0,0,0,22104,16296
77551,0,0,0,19224,19176
77552,0,0,0,16344,22056
77552,0,0,0,13464,24936
77553,0,0,0,10584,27816
77555,0,0,0,13464,24936
77572,0,0,0,16344,22056
77610,0,0,0,19224,19176
77614,0,0,0,22104,16296
77615,0,0,0,24984,13416
77616,0,0,0,27864,10536
77907,0,0,0,28032,10368
78264,0,0,0,29280,9120
78531,0,0,0,28032,10368
79342,0,0,0,27912,10488
79343,0,0,0,28032,10368
79375,0,0,0,27912,10488
79376,0,0,0,28032,10368
79955,0,0,0,29280,9120
79957,0,0,0,29160,9240
79958,0,0,0,29280,9120
79998,0,0,0,29160,9240
79999,0,0,0,29280,9120
80383,0,0,0,13920,24480
80701,0,0,0,12672,25728
81493,0,0,0,10872,27528
82211,0,0,0,12120,26280
82257,0,0,0,12024,26376
82297,0,0,0,11832,26568
82573,0,0,0,10584,27816
82942,0,0,0,10464,27936
82943,0,0,0,10584,27816
82975,0,0,0,10464,27936
82976,0,0,0,10584,27816
83508,0,0,0,10776,27624
83557,0,0,0,10656,27744
83558,0,0,0,10776,27624
83573,0,0,0,6648,31752
83598,0,0,0,6528,31872
83599,0,0,0,6648,31752
83870,0,0,0,7896,30504
83917,0,0,0,6696,31704
83984,0,0,0,22056,16344
83984,0,0,0,6696,31704
84252,0,0,0,6792,31608
85094,0,0,0,8592,29808
85411,0,0,0,9792,28608
85731,0,0,0,8592,29808
86543,0,0,0,8712,29688
86576,0,0,0,8832,29568
87114,0,0,0,12960,25440
87114,0,0,0,0,38400
87158,0,0,0,120,38280
87158,0,0,0,0,38400
87199,0,0,0,120,38280
87199,0,0,0,0,38400
87213,0,0,0,1200,37200
87585,0,0,0,16560,21840
87585,0,0,0,14760,23640
87585,0,0,0,14640,23760
87585,0,0,0,14520,23880
89068,0,0,0,14640,23760
89090,0,0,0,17520,20880
89090,0,0,0,2160,36240
89090,0,0,0,360,38040
89093,0,0,0,480,37920
89216,0,0,0,3360,35040
89724,0,0,0,3480,34920
89772,0,0,0,3600,34800
90715,0,0,0,16560,21840
91183,0,0,0,1200,37200
91186,0,0,0,3000,35400
91840,0,0,0,5880,32520
92293,0,0,0,4080,34320
92691,0,0,0,19440,18960
92691,0,0,0,21240,17160
93149,0,0,0,17112,21288
93821,0,0,0,17064,21336
94076,0,0,0,17016,21384
94783,0,0,0,1656,36744
94784,0,0,0,17016,21384
95494,0,0,0,15816,22584
95865,0,0,0,15864,22536
95893,0,0,0,14064,24336
95894,0,0,0,15864,22536
96115,0,0,0,15768,22632
96118,0,0,0,15864,22536
96830,0,0,0,15768,22632
96910,0,0,0,15816,22584
97010,0,0,0,17016,21384
97197,0,0,0,17112,21288
97379,0,0,0,16920,21480
98383,0,0,0,1560,36840
98384,0,0,0,16920,21480
98849,0,0,0,16752,21648
98912,0,0,0,16920,21480
98957,0,0,0,16752,21648
99493,0,0,0,14952,23448
99494,0,0,0,16752,21648
99575,0,0,0,16920,21480
100038,0,0,0,17112,21288
100290,0,0,0,21240,17160
101983,0,0,0,5880,32520
