job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
5,w0,4,5.000000,12,72.000000,1,COMPLETED_SUCCESSFULLY,5.001800,4.000000,9.001800,0.001800,4.001800,1.000450,820-831,-1.000000,""
0,w0,10,0.000000,266,24.000000,1,COMPLETED_SUCCESSFULLY,0.002400,10.000000,10.002400,0.002400,10.002400,1.000240,0-265,-1.000000,""
1,w0,10,1.000000,181,24.000000,1,COMPLETED_SUCCESSFULLY,1.002400,10.000000,11.002400,0.002400,10.002400,1.000240,266-446,-1.000000,""
2,w0,10,2.000000,97,24.000000,1,COMPLETED_SUCCESSFULLY,2.001800,10.000000,12.001800,0.001800,10.001800,1.000180,447-543,-1.000000,""
3,w0,9,3.000000,97,24.000000,1,COMPLETED_SUCCESSFULLY,3.001800,9.000000,12.001800,0.001800,9.001800,1.000200,544-640,-1.000000,""
4,w0,10,4.000000,179,24.000000,1,COMPLETED_SUCCESSFULLY,4.001800,10.000000,14.001800,0.001800,10.001800,1.000180,641-819,-1.000000,""
6,w0,10,6.000000,13,24.000000,1,COMPLETED_SUCCESSFULLY,6.001800,10.000000,16.001800,0.001800,10.001800,1.000180,832-844,-1.000000,""
7,w0,10,7.000000,3815,240.000000,1,COMPLETED_SUCCESSFULLY,7.001800,10.000000,17.001800,0.001800,10.001800,1.000180,845-4659,-1.000000,""
8,w0,10,8.000000,3349,240.000000,1,COMPLETED_SUCCESSFULLY,8.001800,10.000000,18.001800,0.001800,10.001800,1.000180,4660-8008,-1.000000,""
10,w0,9,10.000000,4802,240.000000,1,COMPLETED_SUCCESSFULLY,10.001800,9.000000,19.001800,0.001800,9.001800,1.000200,820-831 9739-14528,-1.000000,""
12,w0,8,12.000000,98,24.000000,1,COMPLETED_SUCCESSFULLY,12.001800,8.000000,20.001800,0.001800,8.001800,1.000225,266-363,-1.000000,""
13,w0,7,13.000000,97,24.000000,1,COMPLETED_SUCCESSFULLY,13.001800,7.000000,20.001800,0.001800,7.001800,1.000257,364-460,-1.000000,""
23,w0,7,23.000000,43450,24.000000,0,REJECTED,,,,,,,,,""
15,w0,8,15.000000,9,24.000000,1,COMPLETED_SUCCESSFULLY,15.001800,8.000000,23.001800,0.001800,8.001800,1.000225,474-482,-1.000000,""
14,w0,10,14.000000,13,72.000000,1,COMPLETED_SUCCESSFULLY,14.001800,10.000000,24.001800,0.001800,10.001800,1.000180,461-473,-1.000000,""
22,w0,5,22.000000,3601,48.000000,1,COMPLETED_SUCCESSFULLY,22.001800,5.000000,27.001800,0.001800,5.001800,1.000360,363-460 1122-4624,-1.000000,""
28,w0,10,28.000000,41091,24.000000,0,REJECTED,,,,,,,,,""
20,w0,9,20.000000,97,24.000000,1,COMPLETED_SUCCESSFULLY,20.001800,9.000000,29.001800,0.001800,9.001800,1.000200,820-831 1037-1121,-1.000000,""
21,w0,8,21.000000,97,24.000000,1,COMPLETED_SUCCESSFULLY,21.001800,8.000000,29.001800,0.001800,8.001800,1.000225,266-362,-1.000000,""
25,w0,10,25.000000,8,24.000000,1,COMPLETED_SUCCESSFULLY,25.001800,10.000000,35.001800,0.001800,10.001800,1.000180,461-468,-1.000000,""
26,w0,10,26.000000,97,24.000000,1,COMPLETED_SUCCESSFULLY,26.001800,10.000000,36.001800,0.001800,10.001800,1.000180,469-482 4625-4707,-1.000000,""
27,w0,9,27.000000,98,24.000000,1,COMPLETED_SUCCESSFULLY,27.001800,9.000000,36.001800,0.001800,9.001800,1.000200,4708-4805,-1.000000,""
29,w0,10,29.000000,11,72.000000,1,COMPLETED_SUCCESSFULLY,29.001800,10.000000,39.001800,0.001800,10.001800,1.000180,363-373,-1.000000,""
30,w0,10,30.000000,9,24.000000,1,COMPLETED_SUCCESSFULLY,30.002400,10.000000,40.002400,0.002400,10.002400,1.000240,266-274,-1.000000,""
11,w0,1036,11.000000,3748,2070.000000,1,COMPLETED_SUCCESSFULLY,11.001800,1036.000000,1047.001800,0.001800,1036.001800,1.000002,0-265 14529-18010,-1.000000,""
18,w0,1306,18.000000,96,2610.000000,1,COMPLETED_SUCCESSFULLY,18.001800,1306.000000,1324.001800,0.001800,1306.001800,1.000001,843-938,-1.000000,""
19,w0,1305,19.000000,98,2608.000000,1,COMPLETED_SUCCESSFULLY,19.001800,1305.000000,1324.001800,0.001800,1305.001800,1.000001,939-1036,-1.000000,""
17,w0,2112,17.000000,11,4222.000000,1,COMPLETED_SUCCESSFULLY,17.001800,2112.000000,2129.001800,0.001800,2112.001800,1.000001,832-842,-1.000000,""
16,w0,2250,16.000000,7746,4498.000000,1,COMPLETED_SUCCESSFULLY,16.001800,2250.000000,2266.001800,0.001800,2250.001800,1.000001,483-819 18011-25419,-1.000000,""
9,w0,3861,9.000000,1730,7720.000000,1,COMPLETED_SUCCESSFULLY,9.001800,3861.000000,3870.001800,0.001800,3861.001800,1.000000,8009-9738,-1.000000,""
24,w0,4,24.000000,36706,24.000000,1,COMPLETED_SUCCESSFULLY,3870.004000,4.000000,3874.004000,3846.004000,3850.004000,962.501000,0-36705,-1.000000,""
