time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.00240003,0,0,0,38134,266
1.0024,0,0,0,37953,447
2.0018,0,0,0,37856,544
3.0018,0,0,0,37759,641
4.0018,0,0,0,37580,820
5.0018,0,0,0,37568,832
6.0018,0,0,0,37555,845
7.0018,0,0,0,33740,4660
8.0018,0,0,0,30391,8009
9.0018,0,0,0,30403,7997
9.0018,0,0,0,28673,9727
10.0018,0,0,0,23871,14529
10.0024,0,0,0,24137,14263
11.0018,0,0,0,20389,18011
11.0024,0,0,0,20570,17830
12.0018,0,0,0,20667,17733
12.0018,0,0,0,20764,17636
12.0018,0,0,0,20666,17734
13.0018,0,0,0,20569,17831
14.0018,0,0,0,20748,17652
14.0018,0,0,0,20735,17665
15.0018,0,0,0,20726,17674
16.0018,0,0,0,20739,17661
16.0018,0,0,0,12993,25407
17.0018,0,0,0,16808,21592
17.0018,0,0,0,16797,21603
18.0018,0,0,0,20146,18254
18.0018,0,0,0,20050,18350
19.0018,0,0,0,24852,13548
19.0018,0,0,0,24754,13646
20.0018,0,0,0,24852,13548
20.0018,0,0,0,24949,13451
20.0018,0,0,0,24852,13548
21.0018,0,0,0,24755,13645
22.0018,0,0,0,21154,17246
23.0018,0,0,0,21163,17237
24.0018,0,0,0,21176,17224
25.0018,0,0,0,21168,17232
26.0018,0,0,0,21071,17329
27.0018,0,0,0,24672,13728
27.0018,0,0,0,24574,13826
29.0018,0,0,0,24671,13729
29.0018,0,0,0,24768,13632
29.0018,0,0,0,24757,13643
30.0024,0,0,0,24748,13652
35.0018,0,0,0,24756,13644
36.0018,0,0,0,24853,13547
36.0018,0,0,0,24951,13449
39.0018,0,0,0,24962,13438
40.0024,0,0,0,24971,13429
1047,0,0,0,28719,9681
1324,0,0,0,28815,9585
1324,0,0,0,28913,9487
2129,0,0,0,28924,9476
2266,0,0,0,36670,1730
3870,0,0,0,38400,0
3870,0,0,0,1694,36706
3874,0,0,0,38400,0
